GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
860Z200US14057,ZCTA5 14057,3090,236,0.6,0.7,3.8,2.6,2.4,1.3,6.1,3.5,10.3,3.2,16.8,3.8,17.5,5.1,21.6,5,14.6,4.2,6.5,2.8,88750,7444,101266,7870,32.8,(X),(X),(X),(X),(X),2139,180,3,4.1,1.7,1.7,1,0.9,0.7,0.9,9.3,4.4,16.8,4.1,20.1,5.9,22.1,5.7,16.8,4.5,8.5,3.8,96696,11714,111870,11393,(X),(X),30.9,(X),(X),(X),1795,197,0,2.2,2,2.1,1.2,1.1,0.9,1.1,7.1,4.6,15.7,4.3,20.9,6.7,23.5,6.2,18.8,5.3,10.1,4.3,102413,11020,N,N,(X),(X),(X),(X),(X),(X),951,205,1.9,2.3,8.4,7.5,5.6,3.4,18,10.3,13.4,6.1,18,8.3,12.2,7.6,12.8,6.7,8.5,8.4,1.3,2,53702,14152,67568,11952,(X),(X),(X),(X),30.1,(X)
860Z200US14059,ZCTA5 14059,3630,312,2.5,1.7,1.7,1.3,3.9,2.4,4.8,3.3,6.2,3.7,14.1,6.2,14.3,3.5,21,5.6,11.4,4.7,20.1,6.2,101698,12809,152268,41223,34.9,(X),(X),(X),(X),(X),2714,293,0.5,0.8,1,1.3,0.5,0.9,1,1.3,7.2,4.7,11.7,7.7,16.2,4.6,25.4,7.3,11.1,5.6,25.4,7.9,119342,21004,178373,54782,(X),(X),38.4,(X),(X),(X),2242,311,0.6,1,1.2,1.5,0.6,1,0.8,1.4,2.3,2.1,13.4,8.9,16.9,4.6,25.1,7.3,13.2,6.7,25.9,8,126992,20481,N,N,(X),(X),(X),(X),(X),(X),916,228,8.4,6.2,3.9,3.7,13.9,8.5,16.2,11.9,3.4,3.6,21.8,9.6,12.3,8.5,3.6,3.9,12.3,7.7,4.1,4.8,54531,18388,72262,16410,(X),(X),(X),(X),23.1,(X)
860Z200US14061,ZCTA5 14061,36,20,0,54.8,13.9,19.3,0,54.8,13.9,22.6,19.4,29.1,8.3,16.5,0,54.8,30.6,31.8,0,54.8,13.9,20.1,-,**,99353,57435,52.8,(X),(X),(X),(X),(X),31,21,0,59.1,16.1,22.6,0,59.1,0,59.1,22.6,33.6,9.7,20.1,0,59.1,35.5,35.1,0,59.1,16.1,23.9,-,**,111019,64694,(X),(X),45.2,(X),(X),(X),15,14,0,84.9,0,84.9,0,84.9,0,84.9,0,84.9,20,40.9,0,84.9,46.7,53.3,0,84.9,33.3,46,-,**,N,N,(X),(X),(X),(X),(X),(X),5,7,0,100,0,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,-,**,N,N,(X),(X),(X),(X),100,(X)
860Z200US14068,ZCTA5 14068,3189,244,6.6,3.8,2.9,2.4,7.2,4.3,4.2,2.6,5.5,2.7,7.5,3.1,11.5,4.6,19.5,6.1,8.4,3.5,26.7,6.1,120021,24020,134981,13877,35.7,(X),(X),(X),(X),(X),2072,213,4.3,4,2,2.2,7.5,6,2.1,2.2,0,1.9,7.5,3.8,10.5,5.4,16.8,6,12.6,5.5,36.7,8.6,148214,29224,163900,20073,(X),(X),28.8,(X),(X),(X),1763,225,1,1.5,1.5,2.2,7.9,6.4,0.5,0.7,0,2.2,7.5,4,11.6,6.1,17.9,6.5,11.3,5.6,40.8,9.5,159491,39208,N,N,(X),(X),(X),(X),(X),(X),1117,220,10.9,6.8,4.5,4.6,6.7,5.9,8.2,6.1,15.6,7.7,9.6,5.8,12.4,6.8,24.5,13,1.2,1.9,6.4,4.8,62764,34396,78652,14829,(X),(X),(X),(X),48.4,(X)
860Z200US14069,ZCTA5 14069,251,67,0,14.7,16.3,19.1,3.6,5.4,0,14.7,8,8.5,31.9,16.7,7.6,6.4,21.9,15,7.6,9.8,3.2,5.1,56360,17848,79629,24701,21.1,(X),(X),(X),(X),(X),138,47,0,24.8,0,24.8,0,24.8,0,24.8,8,12.3,31.2,23.5,8.7,8.7,32.6,21.8,13.8,16.8,5.8,8.7,101071,57121,108429,26329,(X),(X),6.5,(X),(X),(X),120,49,0,27.7,0,27.7,0,27.7,0,27.7,0,27.7,35.8,24.6,4.2,5.9,37.5,25.5,15.8,19.3,6.7,10.2,108636,50652,N,N,(X),(X),(X),(X),(X),(X),113,65,0,29,36.3,35.1,8,12.7,0,29,17.7,19.4,23,23.6,6.2,10.6,8.8,13.7,0,29,0,29,39125,36223,43520,20627,(X),(X),(X),(X),38.9,(X)
860Z200US14070,ZCTA5 14070,2216,178,4.7,2.6,5.4,2.7,8.8,3.5,11.5,3.1,16.4,3.8,20.7,5.2,8.3,2.2,14.7,3.7,6.7,3.1,2.8,1.4,51620,3772,70182,6958,40.4,(X),(X),(X),(X),(X),1318,153,3.3,3.5,3.7,3.3,4.9,3.4,7.4,2.8,12.4,3.7,25.9,8,10.8,3.4,20.9,5.5,7,3.1,3.8,2.1,64762,13047,83342,10293,(X),(X),43.2,(X),(X),(X),897,102,1.7,2,2.7,3.5,2.1,1.7,8.2,3.6,9.1,4.4,28.3,10.5,10.4,4,23.4,6.4,9.5,4.5,4.6,2.5,73375,8696,N,N,(X),(X),(X),(X),(X),(X),898,153,6.8,3.8,8.6,4.5,17.7,6.8,16.7,6.1,24.1,7.7,14.3,4.2,3.2,2,1,1.2,6.3,6.3,1.3,1.4,35313,7103,45610,8849,(X),(X),(X),(X),34,(X)
860Z200US14072,ZCTA5 14072,8874,306,5.8,2.3,0.6,0.9,2.7,1.3,3.5,1.3,11.5,2.7,11.3,2.4,12.4,3.3,25,4.7,11.8,2.8,15.5,3.2,107036,10014,129756,14153,38.3,(X),(X),(X),(X),(X),6048,318,3.8,2.5,0,0.7,3,2.3,1.7,1,5.3,2.3,9.1,2.7,10.2,3.6,32.9,6.2,13.7,3.5,20.2,4.3,123832,7817,149417,17475,(X),(X),40,(X),(X),(X),4757,361,1.8,1.7,0,0.8,1.2,1.2,0.9,0.8,3.8,1.8,8.1,2.7,8.8,3.3,34.7,6.2,17.3,4.3,23.5,5,133868,2072,N,N,(X),(X),(X),(X),(X),(X),2826,462,10.2,4.5,1.8,2.8,5.2,2.9,8.5,3.8,21.9,7.3,19.5,6.5,17.7,6.3,4,2.4,6.5,4.8,4.8,3.7,53709,12051,77171,20365,(X),(X),(X),(X),34.6,(X)
860Z200US14075,ZCTA5 14075,19527,690,4,1.1,2.3,0.8,5.3,1.4,7.1,1.3,10.1,2.2,16.4,2.1,13,1.8,18.7,2.4,12.1,2.2,10.9,1.7,82083,5843,105585,4509,30.3,(X),(X),(X),(X),(X),12099,537,1,0.6,0.6,0.4,3.2,1.8,4.2,1.7,7.5,2.1,13.2,2.4,13.2,2.2,24.5,3.6,17,3.3,15.5,2.5,114481,6162,130229,5777,(X),(X),31.6,(X),(X),(X),8824,485,0.7,0.5,0.1,0.1,0.9,0.7,1.7,0.8,6.6,2.6,11.8,2.6,11.1,2.2,28.5,4,19.2,4,19.4,3.3,128602,6932,N,N,(X),(X),(X),(X),(X),(X),7428,673,8.9,2.7,5.1,1.8,9.8,2.3,12.2,2.6,15.5,4.2,20.7,4,13,2.9,9.3,2.4,3.2,1.5,2.3,1.2,48368,5162,61435,4778,(X),(X),(X),(X),27.3,(X)
860Z200US14080,ZCTA5 14080,1931,205,5.3,3.8,2.4,2.4,9.8,6,12,5.8,8,4,10.5,4.8,15.6,5.3,20.1,5.5,8,3.7,8.3,3.7,76674,15300,100234,16244,32.6,(X),(X),(X),(X),(X),1222,148,2.6,4,0,3.2,7.4,5.9,4.8,4,5.5,3.3,9.1,4.9,20.4,7.1,26.4,7.7,11.9,5.4,11.8,5.7,102602,15416,128516,25433,(X),(X),30,(X),(X),(X),986,147,3.2,5,0,4,3.5,3.1,2.3,2.9,4.3,3.7,8,5.2,24.2,8.4,31,8.9,13,6.1,10.3,5.9,104694,12222,N,N,(X),(X),(X),(X),(X),(X),709,183,9.9,8.6,6.6,6.6,13.8,12.8,24.3,12.2,15.8,8.8,15.8,10.2,5.9,4.9,4.5,4,2.5,3.7,0.8,1.3,33549,7164,45196,9103,(X),(X),(X),(X),37.2,(X)
860Z200US14081,ZCTA5 14081,1085,139,9.9,4.1,4,2.1,3.8,2.1,6.1,3.9,16.3,6,20.3,7.7,12.1,4.6,12.6,4.7,11.9,5.7,3.1,3,63672,12058,78124,9875,47.9,(X),(X),(X),(X),(X),731,114,8.3,4.3,1,1.4,1.2,1.1,8.5,4.8,18.7,7.7,15.7,5.4,14.1,6,14.2,6,14.1,7.7,4.1,4.1,66103,15739,86722,12869,(X),(X),44.2,(X),(X),(X),466,94,0.9,1.3,0,8.2,0.2,0.8,6.4,5.7,12.4,6.6,14.4,7.5,19.7,9.4,19.7,7.9,19.7,11.8,6.4,6.3,92083,16052,N,N,(X),(X),(X),(X),(X),(X),354,106,13.8,10.9,10.2,6.3,9,6.4,7.6,7.7,11.9,8.2,31.1,18.3,4.8,5,7.3,5.3,4.2,6.6,0,10.7,41875,25114,51496,11307,(X),(X),(X),(X),54.5,(X)
