GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
860Z200US14085,ZCTA5 14085,3044,307,2.6,1.7,1,0.8,2.5,1.6,3.9,1.9,6.3,2.9,12.2,4,6.6,2.5,27.1,6.1,24.1,7.2,13.7,4.2,124286,15629,131534,10085,35.6,(X),(X),(X),(X),(X),2468,293,2.4,2.3,0.5,0.8,1.7,1.3,3.4,2.3,2.9,2.1,10,4.1,6,2.5,28.9,7.2,29.3,8.6,14.9,4.8,136741,18303,142756,10676,(X),(X),35.9,(X),(X),(X),2122,324,2.7,2.6,0,1.9,1,1.2,2.7,2,2.2,1.8,8.7,4,6.3,2.9,28.9,7.8,30.6,9.8,16.9,5.4,144620,14602,N,N,(X),(X),(X),(X),(X),(X),576,176,3.5,5.6,3.1,2.9,5.7,6.4,8.3,7.4,21,11.1,21.5,11.7,9,7.2,17.2,9.5,5,5.5,5.6,8.5,70211,28686,77928,21453,(X),(X),(X),(X),34.5,(X)
860Z200US14086,ZCTA5 14086,15124,498,2.4,1.1,2,0.9,4.5,1.6,5.2,1.5,8.2,1.7,18.2,3.1,12.3,2.2,22.5,3.5,9.5,1.5,15.1,2.2,95949,6325,116497,6018,37.2,(X),(X),(X),(X),(X),9788,460,0.3,0.4,0.8,0.6,0.4,0.4,1.1,0.7,5.9,2.1,15.8,3.1,14.2,3.2,27.4,4.1,13.4,2.2,20.6,3.6,116506,6366,141293,9248,(X),(X),36.8,(X),(X),(X),8270,472,0.2,0.3,0.4,0.4,0.5,0.4,1.1,0.7,5.6,2.3,11.7,3,14.4,3.8,28.7,4.8,14.1,2.5,23.4,4,127500,14225,N,N,(X),(X),(X),(X),(X),(X),5336,676,6.3,3,4.8,2.5,12,4.4,12.8,4.2,12.6,3.7,24.3,6.5,9.4,3.3,11.9,4.6,2.2,1.5,3.6,1.5,51023,7027,65722,6949,(X),(X),(X),(X),38,(X)
860Z200US14091,ZCTA5 14091,522,143,9.4,9,0,7.4,19,10.9,2.1,3.1,5.7,4.4,11.9,6.6,10.3,8.2,15.7,10,3.1,3.5,22.8,16.9,80086,31838,116328,49268,57.7,(X),(X),(X),(X),(X),354,102,12.7,12.6,0,10.7,23.2,14.2,3.1,4.5,5.9,5.3,5.4,4.9,13.6,10.8,19.8,13.1,4.5,5.3,11.9,9.7,66875,46052,82932,23437,(X),(X),52.5,(X),(X),(X),307,100,12.7,14.3,0,12.2,23.8,16,0,12.2,6.8,6.3,3.6,3.6,11.4,11.3,22.8,15.3,5.2,6.2,13.7,11,80819,48627,N,N,(X),(X),(X),(X),(X),(X),168,107,2.4,4.6,0,21,10.1,10.8,0,21,5.4,9,30.4,26.3,6,11.5,0,21,0,21,45.8,45.7,-,**,182213,125237,(X),(X),(X),(X),68.5,(X)
860Z200US14102,ZCTA5 14102,655,145,0,5.9,0,5.9,0,5.9,2.7,4.3,10.5,9.1,9.8,11.7,18.2,15.9,27.5,14.9,16.3,8.9,15,9.6,122659,18230,135701,20588,35.7,(X),(X),(X),(X),(X),520,152,0,7.4,0,7.4,0,7.4,0,7.4,7.1,8.3,0,7.4,21,19.5,34.6,17.9,21.9,11.9,15.4,11.5,125833,23571,150520,26210,(X),(X),37.7,(X),(X),(X),499,150,0,7.7,0,7.7,0,7.7,0,7.7,3.2,5.4,0,7.7,21.8,20.2,36.1,18.3,22.8,12.6,16,11.9,130096,23109,N,N,(X),(X),(X),(X),(X),(X),135,99,0,25.2,0,25.2,0,25.2,13.3,20.2,23.7,27.8,47.4,39.8,7.4,13.8,0,25.2,8.1,18.2,0,25.2,70684,33981,69988,24983,(X),(X),(X),(X),28.1,(X)
860Z200US14111,ZCTA5 14111,1302,141,4,2.7,2.3,1.5,10.4,4.2,5.5,3.6,9.3,3.5,16.1,5.5,11.7,4.8,28.2,8,8.2,4,4.3,2.4,79474,14618,87844,8205,34.2,(X),(X),(X),(X),(X),812,117,2.3,2.4,1.7,1.3,1.8,3,7,5.8,3.9,2.7,12.1,5.1,13.4,5.7,38.3,11.8,12.4,6.1,6.9,4,105968,5463,109524,11002,(X),(X),37.6,(X),(X),(X),690,120,0,5.6,1.3,1.2,2.2,3.5,8,6.8,4.2,3.2,8.1,4.7,12.2,5.9,42.5,13,13.5,7.4,8.1,4.8,109250,13429,N,N,(X),(X),(X),(X),(X),(X),490,105,8.4,6.5,4.3,3.5,24.5,10.1,3.1,3,18.2,8.5,25.3,10.8,9.4,7.3,5.7,3.4,1.2,2,0,7.8,42955,11057,46441,6521,(X),(X),(X),(X),25.1,(X)
860Z200US14112,ZCTA5 14112,12,21,0,95,0,95,0,95,0,95,0,95,0,95,0,95,100,95,0,95,0,95,-,**,N,N,100,(X),(X),(X),(X),(X),12,21,0,95,0,95,0,95,0,95,0,95,0,95,0,95,100,95,0,95,0,95,-,**,N,N,(X),(X),100,(X),(X),(X),12,21,0,95,0,95,0,95,0,95,0,95,0,95,0,95,100,95,0,95,0,95,-,**,N,N,(X),(X),(X),(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,(X)
860Z200US14127,ZCTA5 14127,13050,448,5.9,2.2,0.3,0.2,5.1,2.4,3.8,1.4,7.5,2,12.7,3.3,9.8,2,19,3.2,14.9,3.1,20.9,2.5,106071,6639,138960,8044,35.4,(X),(X),(X),(X),(X),8448,471,2.2,1.4,0,0.5,3.7,3.4,0.7,0.5,3.4,1.4,9.8,2.9,7.8,2,23.9,4.3,19,4.4,29.5,4.1,148222,16620,173754,12256,(X),(X),36.6,(X),(X),(X),7287,499,0.4,0.4,0,0.5,3.7,3.8,0.2,0.3,2,1,8,2.6,7.6,2.2,26,4.9,20.8,4.9,31.3,4.3,157049,13630,N,N,(X),(X),(X),(X),(X),(X),4602,576,13.1,5.4,0.8,0.7,7.6,2.9,9.8,3.9,15,4.7,19.4,6.3,13.4,4.3,11.6,3.3,4.9,2.6,4.3,2,55843,7202,71190,8116,(X),(X),(X),(X),32.9,(X)
860Z200US14134,ZCTA5 14134,30,28,0,60.1,46.7,46.1,0,60.1,0,60.1,13.3,24.8,16.7,24.5,0,60.1,23.3,34.4,0,60.1,0,60.1,-,**,54137,42726,23.3,(X),(X),(X),(X),(X),16,16,0,82.3,0,82.3,0,82.3,0,82.3,25,40,31.3,40.5,0,82.3,43.8,47.4,0,82.3,0,82.3,-,**,89769,38686,(X),(X),43.8,(X),(X),(X),7,11,0,100,0,100,0,100,0,100,0,100,0,100,0,100,100,100,0,100,0,100,-,**,N,N,(X),(X),(X),(X),(X),(X),14,22,0,87.9,100,87.9,0,87.9,0,87.9,0,87.9,0,87.9,0,87.9,0,87.9,0,87.9,0,87.9,-,**,N,N,(X),(X),(X),(X),0,(X)
860Z200US14139,ZCTA5 14139,837,134,2.6,4.4,3.7,2.7,4.3,3.3,4.8,3.6,8.2,4.7,17.4,10.3,26.5,9.1,15.1,6.1,9.2,5.8,8.1,6,78317,9204,95578,13580,26.4,(X),(X),(X),(X),(X),562,112,0,6.9,0,6.9,0,6.9,5.9,5.1,9.1,5.9,15.5,11.6,32.7,11.2,16,7.7,12.5,8.3,8.4,7.7,86563,10000,106481,16688,(X),(X),26.9,(X),(X),(X),410,86,0,9.3,0,9.3,0,9.3,5.1,5.5,7.6,5.8,13.7,11.1,29.3,10.7,18,9.9,14.9,10.5,11.5,10.4,89630,26463,N,N,(X),(X),(X),(X),(X),(X),275,95,8,12.7,11.3,8.2,13.1,10.2,6.9,7.9,6.5,7.5,21.5,20.7,14.2,9,10.9,10.3,0,13.5,7.6,12.1,65487,34522,69139,25906,(X),(X),(X),(X),25.5,(X)
860Z200US14141,ZCTA5 14141,3216,243,2.7,1.8,5.3,2.7,9.2,4.6,6.5,2.4,14.1,5.3,13.7,3.6,10.6,4,17.4,5.5,9.9,3.3,10.5,3.6,71837,18614,104813,14170,31.2,(X),(X),(X),(X),(X),2132,191,1.9,1.8,2.8,2.9,5.3,3.1,3.1,2.6,9.6,4.8,13.2,5,12.5,5.4,25.7,7.5,11.7,4.3,14.2,5.1,103000,19498,121658,14496,(X),(X),32.1,(X),(X),(X),1710,188,0,2.3,0.6,1,3.7,2.9,3.6,3.2,7.4,4.2,13.6,5.5,13.5,6.4,26.2,8.6,13.7,5.2,17.7,6,123155,18921,N,N,(X),(X),(X),(X),(X),(X),1084,248,4.4,3.5,11.6,6.3,16.9,12.1,13.2,5.9,22.9,11.8,13.4,5.7,8.4,5.6,4.3,3.4,1.6,1.8,3.3,5,39712,10691,67399,35954,(X),(X),(X),(X),29.2,(X)
860Z200US14150,ZCTA5 14150,19397,778,6.1,2.3,2.8,1,6,1.2,7.6,1.6,11.8,2.2,19.1,2.4,14.5,2,17.6,2.4,9.3,2.4,5.1,1.4,70294,4430,85230,5048,35.3,(X),(X),(X),(X),(X),10601,569,2.2,1.3,2.1,1.2,1.8,0.8,4.2,1.5,8.4,2.8,17.6,2.9,17,3.2,23,3.4,16,4,7.7,2.3,95008,7613,109345,7186,(X),(X),35.7,(X),(X),(X),8104,538,1.1,1,0.7,0.6,1.2,0.6,1.7,1,7.9,3.2,15.2,3.2,18.7,3.6,26.7,4.5,17.9,4.9,9.1,2.9,104424,6968,N,N,(X),(X),(X),(X),(X),(X),8796,730,11.6,4.6,3.8,1.7,11,2.6,11.7,3.1,16.1,3,21.5,3.8,10.9,2.6,10.7,3.1,1.4,0.9,1.1,0.8,45946,6221,54027,4641,(X),(X),(X),(X),34.5,(X)
860Z200US14169,ZCTA5 14169,74,70,0,38.2,0,38.2,8.1,20.1,0,38.2,0,38.2,75.7,40,16.2,28.5,0,38.2,0,38.2,0,38.2,59149,9280,61568,8646,0,(X),(X),(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),-,(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),74,70,0,38.2,0,38.2,8.1,20.1,0,38.2,0,38.2,75.7,40,16.2,28.5,0,38.2,0,38.2,0,38.2,59149,9280,61568,8646,(X),(X),(X),(X),0,(X)
860Z200US14170,ZCTA5 14170,841,157,1.1,1.7,0,4.6,5.8,6,1.7,2.6,5.2,4.6,12.8,8.8,18.5,11.2,29.7,13.2,8.9,8.2,16.2,9.4,112665,20866,142605,33607,31,(X),(X),(X),(X),(X),676,146,1.3,2.1,0,5.7,1.3,2.2,0,5.7,2.7,3.1,12.4,10.3,18.9,13.3,32.1,15.9,11.1,9.9,20.1,11.6,115000,7512,161220,39750,(X),(X),23.7,(X),(X),(X),559,156,1.6,2.5,0,6.9,0,6.9,0,6.9,1.6,2.6,8.2,9.4,19.7,15.9,31.1,18.3,13.4,11.6,24.3,13.8,116365,25808,N,N,(X),(X),(X),(X),(X),(X),165,83,0,21.3,0,21.3,24.2,28.3,8.5,12.9,15.8,19.8,20,16.1,24.2,17.5,7.3,11.7,0,21.3,0,21.3,63194,42552,56962,16099,(X),(X),(X),(X),53.9,(X)
860Z200US14201,ZCTA5 14201,5954,530,14.3,3.9,15.6,3.9,7.3,2.4,14.3,4.2,9.9,2.6,14.6,3.6,7.4,3,7.5,2.6,2.7,1.2,6.4,2,34204,3057,59801,6676,37.8,(X),(X),(X),(X),(X),2098,305,26.3,8.6,7.7,4.6,9.2,4.5,10.1,4.6,5.3,2.9,12.7,5.5,5.5,3.5,9.5,4.6,4.3,2.9,9.3,3.7,30565,12371,68367,12958,(X),(X),39.8,(X),(X),(X),1005,201,7.3,7.5,1.9,2.1,6.5,5.7,8.2,5.2,8.2,5.2,13.2,7.4,9.1,6.3,18.5,9.3,9.1,5.9,18.2,6.7,88594,35220,N,N,(X),(X),(X),(X),(X),(X),3856,494,13.8,4.4,17,5.2,6.8,3,13.7,5.2,12.1,3.9,16.1,5.4,8.1,3.7,6.4,3,1.7,1.3,4.2,2.3,34049,4311,52461,7140,(X),(X),(X),(X),32,(X)
860Z200US14202,ZCTA5 14202,2204,212,7.4,2.9,7.9,3.9,11,4.8,12,4.6,13.5,4.3,11,5.7,7,2.7,11.6,4.4,5.6,3.1,12.9,3.4,47990,14488,102918,15366,28.9,(X),(X),(X),(X),(X),597,129,2,2.4,2.3,4.3,5.4,6.1,18.8,10.9,12.6,7.7,8.9,7.9,1.5,1.9,15.1,11.7,3.2,2.5,30.3,10.4,-,**,164912,39325,(X),(X),46.2,(X),(X),(X),302,90,0,12.4,0,12.4,0,12.4,0,12.4,4,5.2,6.6,7.3,1.3,2.9,26.2,19,6.3,5.1,55.6,18.3,215625,69193,N,N,(X),(X),(X),(X),(X),(X),1607,239,9.5,3.9,10,5.1,13.1,6.4,9.5,5.2,13.9,5.4,11.8,7.4,9.1,3.7,10.3,4.1,7,4.1,6,3.1,42409,11577,78295,16552,(X),(X),(X),(X),22.4,(X)
860Z200US14203,ZCTA5 14203,1690,295,13.1,7.1,22.1,8.9,5.3,4.6,2.4,2.4,9.4,5.6,17.6,10.1,11.7,5.8,11.1,5.4,4.1,2.5,3.1,2.4,48529,14422,59247,9808,30.7,(X),(X),(X),(X),(X),334,183,0,11.3,0,11.3,15.9,18.8,40.1,36,3.6,7.3,2.1,4.4,24.6,24.8,5.1,6.8,1.5,2.3,7.2,9.3,-,**,63160,25539,(X),(X),82,(X),(X),(X),84,51,0,35.6,0,35.6,0,35.6,26.2,30.5,0,35.6,1.2,2.9,17.9,24.9,20.2,22.7,6,6.9,28.6,29.2,108929,77583,N,N,(X),(X),(X),(X),(X),(X),1356,228,16.3,8.5,27.6,10.5,3.9,4.5,1.4,1.4,9.7,6.4,13.6,7,8.5,5.1,12.6,6.3,4.4,3.1,2.1,2.2,37857,28848,54612,11727,(X),(X),(X),(X),18,(X)
860Z200US14204,ZCTA5 14204,4326,422,20.1,6.2,17.2,6.2,11.2,3.4,10.8,4.3,8.4,3,13.6,5.3,9.1,3.7,6.4,2.7,1.7,1.4,1.5,1.3,26000,5799,42767,5236,47.6,(X),(X),(X),(X),(X),1500,268,18.8,9.5,3.7,3.7,10.9,6.3,6.6,5.4,15.3,8.2,20.4,11.6,11.5,6.7,5.5,3.9,5,3.8,2.3,3.3,46250,9350,56294,9147,(X),(X),53.7,(X),(X),(X),606,190,3.8,4,0,6.4,4.6,5.6,0,6.4,15.8,13.1,26.4,18.1,25.6,15.3,8.4,6.7,9.6,9.8,5.8,8.2,74888,21454,N,N,(X),(X),(X),(X),(X),(X),2826,440,21,7.6,24.3,8.3,12,4.5,12.4,5.7,4.5,2.7,10,4.7,9.1,4.3,5.8,3.2,0,1.4,0.8,0.9,17047,6845,34915,5998,(X),(X),(X),(X),43.7,(X)
860Z200US14206,ZCTA5 14206,9584,447,9.4,2.1,4.8,1.5,10.6,2.3,12.8,2.6,15.1,2.2,19.1,3.2,11.2,2,12.5,2.2,2,0.9,2.7,1.2,46842,4742,60710,4282,39.1,(X),(X),(X),(X),(X),4997,421,7.4,2.1,1.8,1.4,8.5,3.9,11,3.7,13.4,2.9,22.3,4.3,12.4,2.7,16.5,3.5,3.6,1.6,3,1.6,59156,6273,71092,6901,(X),(X),39.9,(X),(X),(X),2552,315,3.4,2.3,0.9,1,4.9,3,3.3,1.9,15.9,3.9,21.9,5.8,17.4,4.2,23.3,5.4,4.7,2.5,4.3,2.2,74464,11025,N,N,(X),(X),(X),(X),(X),(X),4587,387,12.7,4,8.2,2.9,15,3.9,15,3.8,15.3,3.5,17.9,4.7,8.6,3.2,5.5,1.8,0.5,0.5,1.4,1.1,34312,3874,44705,4128,(X),(X),(X),(X),34.6,(X)
860Z200US14207,ZCTA5 14207,10356,546,13.4,3,8.8,2.3,16.9,4,7.1,2,13.8,2.9,15.2,3.2,11.2,2.5,8.8,2.7,3.1,1.1,1.7,1.3,38951,4639,54310,7804,53.6,(X),(X),(X),(X),(X),6048,602,12.2,4,4.5,2.4,15.4,5.6,6.8,2.6,15.1,4.3,19.4,4.7,12.1,3.7,9.7,3.2,3.7,1.6,1.2,0.9,43359,6733,55061,4707,(X),(X),59.2,(X),(X),(X),2674,336,5.8,3,3.2,3.5,9.8,4.7,4.9,3.2,8.9,4.8,26.7,7.9,15.9,5.8,15.3,5.4,7.4,3.5,2.2,1.9,62791,8163,N,N,(X),(X),(X),(X),(X),(X),4308,482,17.7,4.2,14.7,4,20.8,4.8,7.2,3.1,12.9,4.2,10.9,3.5,8.1,2.9,4.5,2.9,1,0.9,2.2,2.8,23284,3562,47192,16800,(X),(X),(X),(X),41.8,(X)
860Z200US14208,ZCTA5 14208,4667,458,9.9,3.9,8.5,3.4,13.5,6.3,10.2,3.8,12.3,5.4,18.8,4.5,9.1,3.6,9.6,3.2,6,2.7,2,1.7,46940,6187,58835,5464,52.9,(X),(X),(X),(X),(X),2331,345,6.2,4.8,5.2,3.6,5.4,3.8,11.9,5.9,16,9.1,21.8,6.8,8.5,4.7,13.3,5,8.7,4.5,3,3.1,54532,12516,70319,8554,(X),(X),60.2,(X),(X),(X),721,185,0.4,1.3,7.2,7.6,0,5.4,24.4,13.9,4.3,4,23.4,12.5,13.9,12.8,17.2,9.2,8.2,5.7,1,1.5,64639,14171,N,N,(X),(X),(X),(X),(X),(X),2336,360,13.5,5.9,11.8,5.8,21.6,11.7,9.2,5,9.3,4.5,18.6,9,5.5,3.4,7.1,5.1,2.2,3.1,1.1,1.2,28208,8376,45626,7913,(X),(X),(X),(X),45.7,(X)
860Z200US14209,ZCTA5 14209,4186,358,12.1,4.5,7.5,4.3,11.1,4.6,8.1,3.9,12.2,4,12.3,4.2,11.1,3.9,12.9,3.8,3.6,1.4,9.2,2.9,49359,6890,79438,9403,35.7,(X),(X),(X),(X),(X),1404,285,6.5,5.5,5.2,5.9,12,8,2.8,2.4,14.2,7.3,5.5,3.5,15.5,9.1,16.3,6.3,7.5,4,14.4,6.5,76699,19672,102013,17069,(X),(X),36.2,(X),(X),(X),805,156,3.2,3.3,4.2,6.3,2.4,3.7,0,4.8,17.8,10.2,6.1,5.4,9.2,6.9,23.2,9,11.4,6.4,22.5,9.9,116875,39193,N,N,(X),(X),(X),(X),(X),(X),2782,308,14.9,6,8.7,5.1,10.6,5.4,10.7,5.8,11.3,4.6,15.7,6.4,8.8,2.8,11.1,5,2,1.4,6.1,2.7,41888,9551,66196,10764,(X),(X),(X),(X),34.9,(X)
860Z200US14210,ZCTA5 14210,7140,481,7.2,2.7,10.3,3.4,11.4,4.1,11,3,9.7,2.9,18.9,4.7,14.6,4.2,12.9,4.4,2.3,1.6,1.8,1.1,51059,9187,61424,6595,37.9,(X),(X),(X),(X),(X),3549,463,4.1,3.3,8.5,4.4,7.8,3.5,9.8,4.7,8.4,3.3,22.8,7.6,12.9,5.2,19.2,7.8,3.5,2.9,3.1,2.2,56961,12492,74209,13122,(X),(X),48.4,(X),(X),(X),1766,351,1.1,1.8,0.7,1.1,9.7,6,4.1,2.8,4.5,3.5,27,11.8,15.7,7.7,24.7,9.3,6.2,5.8,6.2,4.3,82031,21935,N,N,(X),(X),(X),(X),(X),(X),3591,443,10.2,4.4,12,5.5,15.2,7.4,13.5,4.6,13.5,5,15.2,5.9,14.3,6.3,5.5,4.3,0.4,0.6,0.3,0.4,34422,8522,45286,5093,(X),(X),(X),(X),26.3,(X)
860Z200US14211,ZCTA5 14211,9685,659,8.9,2.3,11.5,3.1,14.4,3,15.8,3.4,13.3,3.1,16.3,3.7,6.8,2.1,8.2,2.4,3,1.5,1.9,1.2,34490,3728,57154,10695,42.7,(X),(X),(X),(X),(X),5395,486,4.9,2.6,7.5,4.1,13.8,3.9,18,4.7,12.6,3.9,18.3,4.1,9.3,2.8,10.9,3.2,3.1,2,1.6,1.1,38358,9508,55916,5130,(X),(X),47.3,(X),(X),(X),1814,260,1.2,1.2,5.2,4.2,11.4,4.6,12.7,5.5,10,4.6,18.9,6.6,15.1,6.6,17.3,6.3,5.8,4.7,2.4,2.8,54608,8665,N,N,(X),(X),(X),(X),(X),(X),4290,598,13.9,3.8,16.6,5.1,16.4,5.9,13.8,5.5,14.5,4.7,15.5,6.3,3,2.4,3.4,2.2,0.7,0.9,2.2,2.4,26907,4348,54078,23565,(X),(X),(X),(X),35.9,(X)
860Z200US14212,ZCTA5 14212,4924,392,10.8,3.6,7.7,3.4,19.1,5.2,11.8,3.6,14.2,3.6,12.4,3.3,8.6,3.7,10.7,2.8,3.4,1.6,1.4,1,35517,4351,52008,4259,51.7,(X),(X),(X),(X),(X),2771,277,8.8,3.2,3.1,2.2,16.7,6.4,15.1,5.5,14,4.2,11.8,4,7.9,4.3,16.1,4.6,4.7,2.9,1.8,1.5,43085,11075,60323,6182,(X),(X),53.3,(X),(X),(X),1706,234,7.7,4.5,2.2,1.8,11,7.9,14.2,6,14,5.1,9.9,5,11,6.1,22,6.2,5.3,4,2.9,2.4,51214,17396,N,N,(X),(X),(X),(X),(X),(X),2153,303,14.2,6.2,13.6,7,23.5,10,10.1,5.3,13.1,5.4,13.3,5.2,8.7,5.7,2.3,2.4,0.4,0.7,0.9,1.3,23257,7797,36786,5772,(X),(X),(X),(X),46.2,(X)
860Z200US14213,ZCTA5 14213,9305,584,7.8,2.6,7.1,2,11.2,2.6,8.5,2.3,14.3,2.7,16.5,2.9,10.8,2.3,16.4,3.9,4.2,1.6,3.2,1.4,52597,5659,70800,7465,46.4,(X),(X),(X),(X),(X),4605,451,7.9,3.8,5,2.6,8.7,3.1,9.5,2.8,11.1,3.5,14.7,3.5,15.6,4,19,5.4,5,2.7,3.5,2,66437,10736,76002,7611,(X),(X),48.1,(X),(X),(X),2545,357,0,1.6,1.7,1.7,4.2,3.1,8,3.5,11.6,5,15.1,5,19.7,5.6,27,8.2,6.3,3.9,6.4,3.5,87801,9828,N,N,(X),(X),(X),(X),(X),(X),4700,487,9.9,4.1,8.8,3.3,13.3,4,8.2,3,17.2,4.4,16.8,4.5,6.6,2.4,12.7,5,3.6,2.1,2.8,2.2,43778,6406,63652,12395,(X),(X),(X),(X),42.3,(X)
860Z200US14214,ZCTA5 14214,8422,553,12.1,3.3,7.9,3.6,6.8,2.4,5.8,1.8,12.6,3.1,15.9,3.6,11.5,3.6,12.8,3,7.2,1.7,7.4,2.1,56573,9259,80376,6018,50.6,(X),(X),(X),(X),(X),4121,462,5.6,2.9,2.7,2,7.3,4.8,5.3,2.7,9.8,3.1,12.7,4.2,11.7,4,20.5,4.6,13.5,4.4,11,3.1,92894,13842,111308,11648,(X),(X),50.9,(X),(X),(X),2275,303,2.9,2.2,0.6,0.8,2.3,2.6,1.3,1.6,9.1,4,9.1,4.7,10.4,5,26.4,6.5,18.8,4.9,19.1,5.3,123750,10924,N,N,(X),(X),(X),(X),(X),(X),4301,467,18.3,5.9,12.9,6.7,9,3.4,6.3,2.5,15.8,5.6,18.5,5.2,10.5,4.1,4.7,2.6,2.8,2,1.2,0.8,37698,7417,46251,5258,(X),(X),(X),(X),50.1,(X)
860Z200US14215,ZCTA5 14215,17139,865,11.4,2.5,7.7,2,11.6,2,9.7,1.8,16.3,3,17.8,2.9,11.4,2.6,8.2,1.8,3.2,1.1,2.7,1,43326,3220,59485,4667,55.1,(X),(X),(X),(X),(X),9983,891,9.1,2.7,4.9,1.8,8.2,2.3,11,2.8,13.2,3.5,19.8,4.4,15.3,3.9,10,2.7,5.2,2,3.3,1.4,53197,6650,69914,6867,(X),(X),61.2,(X),(X),(X),3647,425,1.9,1.3,1.8,1.3,2.6,1.6,6.6,3.7,15.1,5.5,19.4,6.2,18.2,4.8,18.9,5.9,10,3.5,5.6,3.2,79208,9888,N,N,(X),(X),(X),(X),(X),(X),7156,668,16.8,5,11.7,3.8,16.3,3.7,8.7,2.5,20,5.3,15.4,3.7,6.3,2.2,2.6,1.5,0.4,0.4,1.7,1.4,30985,5882,41178,4763,(X),(X),(X),(X),45.2,(X)
860Z200US14216,ZCTA5 14216,11859,609,7.2,2.5,4.9,2,6.2,1.7,7.3,2.4,9.8,2.6,17.5,3.6,14,2.8,18.3,3.4,6.6,1.5,8.2,1.8,70260,5012,93643,7078,41.1,(X),(X),(X),(X),(X),5172,535,4.5,3.1,0.4,0.4,3,2,6,3.5,8,3.4,16.4,4.9,12.7,3.8,25.3,5.4,10.3,3,13.3,3.7,96993,14885,126023,14008,(X),(X),50.3,(X),(X),(X),3480,499,0,1.1,0,1.1,2.8,2.8,5.7,4.4,3.5,1.7,12.2,5.3,11.6,4.6,31.6,6.9,14.3,4.2,18.1,5.6,127235,9780,N,N,(X),(X),(X),(X),(X),(X),6687,606,9.5,3.8,8.3,3.6,8.9,2.5,8.2,3.4,11.3,3.6,18.4,4.8,15.6,4.1,14.1,3.9,2.4,1.2,3.3,1.6,55402,7876,65948,5330,(X),(X),(X),(X),32.5,(X)
